Configuration,Convergence,F,E,Zwitteriónico
0,F,-0.174147008610E+03,-0.39455E-06,F
1,T,-.18106714E+03,-.18106723E+03,F
2,F,-0.175312138319E+03,-0.44898E-06,F
3,F,-0.174816846477E+03,-0.22547E-06,F
4,T,-.18111651E+03,-.18111661E+03,F
5,T,-.18023764E+03,-.18023774E+03,F
6,T,-.18099710E+03,-.18099719E+03,F
7,T,-.18012972E+03,-.18012982E+03,T
8,F,-0.174616561855E+03,-0.22835E-06,F
9,F,-0.162964682626E+03,-0.89780E-02,F
10,T,-.18074886E+03,-.18074896E+03,T
11,F,-0.175735658568E+03,-0.40467E-04,F
12,T,-.18112233E+03,-.18112242E+03,F
13,T,-.18128124E+03,-.18128133E+03,F
14,T,-.18116719E+03,-.18116729E+03,F
15,F,-0.174939121336E+03,-0.74838E-06,F
16,T,-.18096265E+03,-.18096275E+03,F
17,F,-0.174608394121E+03,-0.21394E-06,F
18,F,-0.174808028456E+03,-0.21249E-06,F
19,T,-.18126444E+03,-.18126454E+03,T
20,F,-0.175556705534E+03,-0.32119E-06,F
21,T,-.18110264E+03,-.18110273E+03,F
22,F,-0.175428056081E+03,-0.33243E-06,F
23,T,-.18041267E+03,-.18041276E+03,F
24,T,-.18145476E+03,-.18145486E+03,F
25,F,-0.175383513475E+03,-0.30201E-06,F
26,T,-.18047917E+03,-.18047926E+03,F
27,F,-0.175827074318E+03,-0.26322E-04,F
28,F,-0.175236257292E+03,-0.29851E-06,F
29,T,-.18090656E+03,-.18090665E+03,F
30,T,-.18160441E+03,-.18160451E+03,F
31,F,-0.174999790065E+03,-0.34140E-06,F
32,F,-0.166890820455E+03,-0.46446E-02,F
33,T,-.18125569E+03,-.18125579E+03,F
34,T,-.18108216E+03,-.18108226E+03,F
35,F,-0.171188923376E+03,-0.13468E-02,F
36,F,-0.123961142363E+03,-0.24033E-05,F
37,T,-.18011894E+03,-.18011903E+03,T
38,F,-0.174288332902E+03,-0.17140E-04,F
39,T,-.18094856E+03,-.18094866E+03,F
40,F,-0.176335016537E+03,-0.28040E-06,F
41,F,-0.153878432584E+03,-0.66525E-04,F
42,T,-.18151029E+03,-.18151038E+03,F
43,F,-0.174187255941E+03,-0.49743E-03,F
44,T,-.18166502E+03,-.18166512E+03,F
45,F,-0.161946965261E+03,-0.11399E-01,F
46,F,-0.175381559889E+03,-0.31686E-06,F
47,F,-0.174314486298E+03,-0.46391E-05,F
48,T,-.17985228E+03,-.17985141E+03,T
49,T,-.18207826E+03,-.18207836E+03,F
50,F,-0.360595109892E+03,-0.52368E-02,F
51,T,-.18084566E+03,-.18084576E+03,F
52,T,-.18004174E+03,-.18004184E+03,F
53,T,-.18171135E+03,-.18171144E+03,F
54,F,-0.110113979218E+03,-0.41253E-03,F
55,T,-.18028234E+03,-.18028244E+03,F
56,T,-.18101376E+03,-.18101386E+03,F
57,F,0,0,F
58,T,-.18117733E+03,-.18117744E+03,T
59,T,-.18114192E+03,-.18114201E+03,F
60,T,-.18144154E+03,-.18144164E+03,T
61,T,-.18012439E+03,-.18012457E+03,F
62,T,-.18162096E+03,-.18162106E+03,F
63,F,-0.184926378298E+03,-0.89167E+01,F
,
